Entity,Code,Year,Fossil fuels (% growth)
Spain,ESP,2010,-4.04658317565918
Spain,ESP,2011,0.45418739318847656
Spain,ESP,2012,-1.8748879432678223
Spain,ESP,2013,-9.697044372558594
Spain,ESP,2014,-2.409791946411133
Spain,ESP,2015,5.213713645935059
Spain,ESP,2016,-0.6633579730987549
Spain,ESP,2017,5.598556995391846
Spain,ESP,2018,-0.8667111396789551
Spain,ESP,2019,-2.4722397327423096
Spain,ESP,2020,-16.539461135864258
Spain,ESP,2021,9.233379364013672
Sri Lanka,LKA,1966,2.419424057006836
Sri Lanka,LKA,1967,2.4266481399536133
Sri Lanka,LKA,1968,2.512502670288086
Sri Lanka,LKA,1969,2.2031307220458984
Sri Lanka,LKA,1970,70.56829833984375
Sri Lanka,LKA,1971,0.6576299667358398
Sri Lanka,LKA,1972,5.2092790603637695
Sri Lanka,LKA,1973,6.369233131408691
Sri Lanka,LKA,1974,-20.12732696533203
Sri Lanka,LKA,1975,3.66518497467041
Sri Lanka,LKA,1976,-2.5891900062561035
Sri Lanka,LKA,1977,7.033836841583252
Sri Lanka,LKA,1978,3.259408473968506
Sri Lanka,LKA,1979,4.758656024932861
Sri Lanka,LKA,1980,0.8072257041931152
Sri Lanka,LKA,1981,4.715418815612793
Sri Lanka,LKA,1982,9.027969360351562
Sri Lanka,LKA,1983,3.7430524826049805
Sri Lanka,LKA,1984,-4.736185073852539
Sri Lanka,LKA,1985,-11.490476608276367
Sri Lanka,LKA,1986,3.2975316047668457
Sri Lanka,LKA,1987,11.182367324829102
Sri Lanka,LKA,1988,-7.195287704467773
Sri Lanka,LKA,1989,-6.681036949157715
Sri Lanka,LKA,1990,11.211228370666504
Sri Lanka,LKA,1991,0.11147260665893555
Sri Lanka,LKA,1992,13.646686553955078
Sri Lanka,LKA,1993,1.0785698890686035
Sri Lanka,LKA,1994,8.624374389648438
Sri Lanka,LKA,1995,6.501376628875732
Sri Lanka,LKA,1996,21.354270935058594
Sri Lanka,LKA,1997,2.41011381149292
Sri Lanka,LKA,1998,4.52122688293457
Sri Lanka,LKA,1999,7.805061340332031
Sri Lanka,LKA,2000,14.872050285339355
Sri Lanka,LKA,2001,-2.723538875579834
Sri Lanka,LKA,2002,6.42017126083374
Sri Lanka,LKA,2003,-0.4211843013763428
Sri Lanka,LKA,2004,-1.0740339756011963
Sri Lanka,LKA,2005,15.402531623840332
Sri Lanka,LKA,2006,2.393782138824463
Sri Lanka,LKA,2007,5.89827299118042
Sri Lanka,LKA,2008,-7.6951799392700195
Sri Lanka,LKA,2009,3.067004680633545
Sri Lanka,LKA,2010,0.3491640090942383
Sri Lanka,LKA,2011,16.539812088012695
Sri Lanka,LKA,2012,9.338092803955078
Sri Lanka,LKA,2013,-12.911457061767578
Sri Lanka,LKA,2014,20.56260108947754
Sri Lanka,LKA,2015,8.864712715148926
Sri Lanka,LKA,2016,16.56601333618164
Sri Lanka,LKA,2017,-2.0101845264434814
Sri Lanka,LKA,2018,-3.701525926589966
Sri Lanka,LKA,2019,7.995486259460449
Sri Lanka,LKA,2020,-6.575507164001465
Sri Lanka,LKA,2021,0
Sweden,SWE,1966,11.25328540802002
Sweden,SWE,1967,-0.3726840019226074
Sweden,SWE,1968,10.880064964294434
Sweden,SWE,1969,6.461477279663086
Sweden,SWE,1970,8.613216400146484
Sweden,SWE,1971,-6.198042869567871
Sweden,SWE,1972,1.6634345054626465
Sweden,SWE,1973,2.6303887367248535
Sweden,SWE,1974,-9.081620216369629
Sweden,SWE,1975,0.2510190010070801
Sweden,SWE,1976,9.269142150878906
